Timestamp, Did you read the short article? ,What is your gender?,In what city and state do you reside?,How old are you?,What is today's date?,Breast milk supplies quality nutrients to an infant. ,Colostrum is a more concentrated form of breast milk with lots of immunological properties. ,Breastfeeding is something that is encouraged in my community. , When an infant is breastfed it is difficult to tell how much milk is consumed.,Breastfeeding helps a women lose weight that was gained during pregnancy. ,Mothers should cover their breasts from public view when breastfeeding in public places. , Breast milk is composed of low fat and low protein., Breastfeeding is something that should primarily be done at home. ,A mother’s milk supply does not actually come in until about 1-3 days after birth. ,You are sitting at a table in a coffee shop. A woman walks in and sits at the table next to you and begins breastfeeding an infant. This makes you feel uncomfortable., Breastfeeding is correlated with a lowered risk of breast and ovarian cancer for the mother., Most people in my community bottle feed their infants. ,Breastfeeding is a cheap food source in comparison to formula.,"Formula is created to have nutritional value for infants, because of this breastfeeding is no longer necessary.", Expecting future mothers to breastfeed places unnecessary stress on them since not all women are able to produce enough milk.
4/19/2016 22:18,Yes,Male,Oregon,Between 18-25,4/19/2016,7,6,5,7,7,1,4,1,1,2,5,5,7,5,5
4/19/2016 22:54,Yes,Female,"Sweet Home, Oregon",Between 18-25,4/19/2016,7,7,5,5,7,1,5,1,1,1,5,5,7,1,5
4/19/2016 22:58,Yes,Female,Lebanon,Between 18-25,4/19/2016,7,7,5,5,6,1,1,1,7,1,6,4,7,1,6
4/19/2016 23:07,Yes,Female,"Albany, OR",Between 25-35,4/19/2016,7,7,7,7,7,1,4,1,7,1,7,4,7,1,5
4/19/2016 23:29,Yes,Female,Salem oregon,Between 18-25,4/19/2016,7,7,4,4,7,1,1,1,7,1,7,5,7,1,1
4/20/2016 16:34,Yes,Male,,Older than 36,4/20/2016,7,7,7,1,1,1,1,7,1,1,1,4,1,1,1
4/20/2016 17:46,No,Male,Fl,Older than 36,4/18/2016,7,7,4,4,2,6,3,2,3,5,3,2,2,2,3
4/21/2016 14:26,Yes,Female,Oregon,Between 18-25,4/21/2016,7,7,3,5,6,3,1,4,7,2,6,2,7,1,5
4/21/2016 14:53,Yes,Female,"Lebanon,  Oregon",Between 25-35,4/21/2016,7,7,7,1,7,4,1,1,7,1,7,3,7,1,1
4/21/2016 15:13,Yes,Female,"Lebanon, OR",Between 25-35,4/21/2016,7,7,7,6,4,4,1,1,4,1,6,5,7,1,1
4/21/2016 16:14,Yes,Male,Oregon ,Between 25-35,,7,7,4,5,6,1,3,1,7,1,6,6,7,1,1
4/21/2016 16:21,Yes,Female,"Corvallis, OR",Between 25-35,4/21/2016,7,7,7,2,7,5,1,4,1,5,7,2,7,1,1
4/21/2016 21:04,Yes,Male,"Lebanon, OR",Between 18-25,4/21/2016,7,7,5,2,4,2,2,1,4,2,4,4,5,2,3
4/22/2016 8:07,Yes,Female,"Hermiston, OR",Between 25-35,4/22/2016,7,7,7,7,5,3,2,1,6,2,6,2,7,1,3
4/22/2016 14:54,Yes,Female,Lebanon oregon,Older than 36,4/22/2016,7,7,7,7,7,6,1,1,6,1,7,1,7,1,1
4/23/2016 16:39,Yes,Female,"Lebanon, or",Between 25-35,4/23/2016,7,7,6,6,6,1,1,1,7,1,6,3,7,3,1
4/23/2016 17:29,Yes,Female,Brownsville  Oregon ,Between 25-35,4/23/2016,7,7,4,6,2,1,1,1,4,1,6,6,7,1,4
4/23/2016 21:19,Yes,Female,Klamath falls  Oregon ,,,7,7,7,7,7,4,1,1,5,1,7,2,7,1,1
4/24/2016 19:50,Yes,Female,"Philomath, OR",Between 25-35,4/24/2016,7,7,7,3,7,3,2,1,7,1,7,1,7,1,2
4/25/2016 12:40,Yes,Female,oregon,Older than 36,4/25/2101,7,7,6,3,5,4,1,1,5,2,6,3,7,2,4
4/25/2016 12:52,Yes,Female,Lebanon,Between 25-35,4/25/2016,7,6,6,7,6,1,4,1,1,1,7,2,7,1,2
4/25/2016 12:54,Yes,Female,Tennessee,Between 25-35,4/25/2016,6,6,4,5,6,3,4,2,4,2,6,5,4,1,2
4/25/2016 12:55,Yes,Female,Seattle Washington,Older than 36,4/25/2016,7,7,7,4,7,1,7,1,7,1,7,1,7,1,7
4/25/2016 13:07,Yes,Female,Albany Oregon,Older than 36,4/25/2016,7,7,5,4,7,1,3,1,5,1,7,5,6,1,1
4/25/2016 13:11,Yes,,"Albany, Oregon",Between 18-25,4/26/2016,7,7,5,3,5,1,1,1,3,1,7,4,7,1,3
4/25/2016 13:29,Yes,Female,"Lebanon, Oregon",Between 25-35,4/25/2016,7,7,7,1,4,7,4,4,7,7,7,4,7,4,7
4/25/2016 13:44,Yes,Female,"Tangent, Oregon",Between 25-35,4/25/2016,7,7,7,,7,3,1,1,7,1,7,4,7,1,1
4/25/2016 13:55,Yes,Female,,Older than 36,4/25/2016,7,7,3,7,7,1,1,1,7,1,5,4,7,1,5
4/25/2016 14:15,Yes,Female,"Lebanon, Oregon",Between 18-25,4/25/2016,7,7,7,5,5,1,7,1,7,1,7,4,7,1,4
4/25/2016 14:47,Yes,Female,"Lebanon, Oregon",Between 25-35,4/25/2016,7,7,6,7,6,5,4,1,7,1,7,3,7,1,2
4/25/2016 14:48,Yes,Female,Oregon ,Between 18-25,4/25/2016,7,7,5,4,7,1,1,1,7,1,7,5,7,1,4
4/25/2016 15:04,Yes,Female,"Albany, Oregon",Older than 36,4/26/2016,7,7,7,4,4,5,1,7,7,1,7,1,7,1,1
4/25/2016 15:46,Yes,Female,"Lebanon, Oregon",Between 25-35,4/25/2016,7,7,5,5,7,5,2,2,6,3,2,6,7,1,5
4/25/2016 16:02,No,Female,"Eugene, OR",Between 25-35,4/25/2016,7,7,5,5,5,4,2,2,5,1,6,3,7,1,3
4/25/2016 16:38,Yes,Female,Corvallis Oregon ,Older than 36,4/25/2016,7,7,7,5,7,1,1,1,6,1,7,3,7,2,5
4/25/2016 17:17,No,Female,"Fountain Inn, SC",Between 25-35,4/25/2016,7,7,5,4,7,3,2,3,3,1,4,1,7,1,4
4/25/2016 17:36,Yes,,"Seattle, WA ",Older than 36,4/25/2016,7,7,6,4,4,1,1,1,7,1,7,2,7,1,1
4/26/2016 6:28,Yes,,Sweet home Oregon,Between 18-25,4/26/2016,7,7,4,6,6,3,4,2,7,1,7,2,7,3,5
4/26/2016 9:14,Yes,Female,Pacifica Ca,Between 25-35,4/26/2016,7,7,7,6,6,5,1,1,7,1,7,2,7,1,2
