Timestamp, Did you read the short article? ,What is your gender?,In what city and state do you reside?,How old are you?,What is today's date,Breast milk supplies quality nutrients to an infant. ,Colostrum is a more concentrated form of breast milk with lots of immunological properties. ,Breastfeeding is something that is encouraged in my community. ,When an infant is breastfed it is difficult to tell how much milk is consumed.,Breastfeeding helps a women lose weight that was gained during pregnancy. ,Mothers should cover their breasts from public view when breastfeeding in public places. ,Breast milk is composed of low fat and low protein.,Breastfeeding is something that should primarily be done at home. ,A mother’s milk supply does not actually come in until about 1-3 days after birth. ,You are sitting at a table in a coffee shop. A woman walks in and sits at the table next to you and begins breastfeeding an infant. This makes you feel uncomfortable.,Breastfeeding is correlated with a lowered risk of breast and ovarian cancer for the mother.,Most people in my community bottle feed their infants. ,Breastfeeding is a cheap food source in comparison to formula.,"Formula is created to have nutritional value for infants, because of this breastfeeding is no longer necessary.", Expecting future mothers to breastfeed places unnecessary stress on them since not all women are able to produce enough milk.
4/21/2016 21:31,Yes,Female,"Pendleton, Or.",Between 18-25,4/21/2016,7,7,5,6,5,5,5,2,6,1,6,4,7,2,6
4/21/2016 21:39,Yes,Male,"Stanfield, OR",Between 18-25,4/21/2016,7,6,6,6,6,2,1,3,1,2,7,2,7,1,3
4/21/2016 21:41,No,Female,"Umatilla, Oregon",Between 25-35,4/21/2016,7,4,2,5,6,4,4,1,1,5,4,7,7,1,4
4/21/2016 21:48,Yes,Female,"Hermiston, OR",Older than 36,4/21/2016,7,7,4,1,4,1,4,1,7,1,6,4,6,1,3
4/21/2016 21:52,Yes,Female,"Pendleton, Oregon",Between 25-35,4/21/2016,7,7,7,4,7,1,1,1,7,1,7,4,7,2,3
4/21/2016 21:54,No,Female,Oregon,Between 25-35,4/21/2016,7,7,4,6,6,1,1,1,7,1,7,4,7,1,1
4/21/2016 22:26,Yes,Female,hermiston oregon,Between 25-35,4/21/2016,7,7,7,1,7,1,1,1,6,1,7,5,7,1,3
4/21/2016 22:35,No,Female,Hermiston ,Between 25-35,4/21/2016,7,7,7,7,7,1,4,1,6,7,7,4,7,2,3
4/21/2016 23:00,Yes,Female,"Hermiston, OR",Older than 36,4/21/2016,7,7,7,7,7,1,7,4,7,1,7,5,7,1,4
4/21/2016 23:13,Yes,Female,"Hermiston, OR",Between 25-35,4/21/2016,7,7,5,6,5,2,4,1,7,1,6,4,7,1,3
4/21/2016 23:56,Yes,Female,"Hermiston, OR",Between 25-35,4/21/2016,7,1,1,3,4,1,3,1,7,1,7,7,7,1,1
4/22/2016 2:20,Yes,Female,Stanfield oregon,Between 25-35,4/22/2016,7,7,6,5,6,1,1,1,7,1,7,5,7,1,2
4/22/2016 6:00,Yes,Female,Helix Oregon ,Between 25-35,4/22/2016,7,7,3,5,6,1,4,1,7,1,5,7,7,1,6
4/22/2016 11:49,Yes,Female,"Hermiston, Oregon",Between 25-35,4/22/2016,7,7,4,5,4,4,1,1,6,1,4,4,7,1,4
4/22/2016 15:31,Yes,Female,"Mountlake Terrace, WA",Older than 36,4/22/2016,7,7,4,5,4,7,1,1,7,1,4,4,7,4,3
4/25/2016 21:31,Yes,Female,Stanfield Oregon ,Between 25-35,4/25/2016,7,7,6,6,4,1,1,1,6,1,7,6,7,1,1
4/28/2016 13:07,Yes,Female,"Roseburg, Oregon",Older than 36,4/28/2016,6,6,6,6,6,4,2,4,7,1,4,5,7,1,4
4/28/2016 13:29,Yes,Female,"McMinnville, OR",Older than 36,4/28/2016,7,7,6,3,7,1,7,1,7,1,7,4,7,1,7
4/28/2016 19:50,Yes,Female,Hermiston Oregon ,Between 18-25,4/28/2016,7,7,3,7,3,1,4,1,1,1,5,4,7,1,5
4/28/2016 20:01,Yes,Female,Oregon,Between 18-25,4/28/2016,7,4,6,2,4,3,5,1,3,4,5,4,7,1,1
4/28/2016 20:12,Yes,Female,"La Grande, Oregon",Older than 36,4/28/2016,7,7,7,6,6,7,1,1,7,1,7,2,7,2,3
4/28/2016 20:36,No,Female,"hermiston, oregon",Between 25-35,4/28/2016,7,7,3,2,6,1,2,1,7,1,7,5,7,1,1
4/28/2016 22:52,No,Female,,Between 25-35,4/28/2016,7,7,4,6,4,1,1,1,7,1,7,5,7,1,1
4/28/2016 23:24,Yes,Female,"Hermiston, OR",Older than 36,4/28/2016,7,7,5,5,4,4,1,1,6,1,7,4,7,1,2
4/29/2016 7:19,Yes,Female,Hermiston Oregon,Older than 36,4/29/2016,7,7,4,4,7,4,1,1,7,1,4,5,7,1,2
5/2/2016 20:50,Yes,Female,"Bend, Oregon",Older than 36,5/2/2016,7,7,7,6,5,4,1,1,7,1,2,2,7,1,4
5/3/2016 18:06,Yes,Female,"Hermiston, Oregon",Between 25-35,5/3/2016,7,7,6,6,7,7,7,5,4,7,5,5,7,7,5
5/4/2016 10:24,Yes,Female,LaGrande,Between 18-25,5/4/2016,6,7,4,3,4,2,1,2,6,2,5,4,6,1,7
5/4/2016 19:30,Yes,Female,"Silverdale, Washington",Older than 36,5/4/2016,7,7,5,7,5,4,1,1,7,1,4,4,7,1,6
5/4/2016 22:27,Yes,Male,La Grnade Oregon,Between 18-25,5/4/2016,6,5,6,3,4,5,4,3,4,3,6,3,7,2,6
5/5/2016 20:49,Yes,Female,Pendleton Oregon,Between 18-25,5/5/2016,5,3,4,4,4,2,5,3,3,2,5,3,6,3,5
5/6/2016 6:17,Yes,Female,"Vale, OR",Between 25-35,5/6/2016,7,7,4,5,7,5,2,1,4,1,6,3,7,1,1
